direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305065,無料連絡バス65
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305066,無料連絡バス66
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305067,無料連絡バス67
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305068,無料連絡バス68
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305069,無料連絡バス69
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305070,無料連絡バス70
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305071,無料連絡バス71
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305072,無料連絡バス72
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305073,無料連絡バス73
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305074,無料連絡バス74
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305075,無料連絡バス75
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305076,無料連絡バス76
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305077,無料連絡バス77
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305078,無料連絡バス78
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305079,無料連絡バス79
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305080,無料連絡バス80
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305081,無料連絡バス81
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305082,無料連絡バス82
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305083,無料連絡バス83
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305084,無料連絡バス84
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305085,無料連絡バス85
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305086,無料連絡バス86
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305087,無料連絡バス87
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305088,無料連絡バス88
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305089,無料連絡バス89
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305090,無料連絡バス90
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305091,無料連絡バス91
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305092,無料連絡バス92
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305093,無料連絡バス93
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305094,無料連絡バス94
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305095,無料連絡バス95
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305096,無料連絡バス96
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305097,無料連絡バス97
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305098,無料連絡バス98
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305099,無料連絡バス99
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305100,無料連絡バス100
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305101,無料連絡バス101
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305102,無料連絡バス102
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305103,無料連絡バス103
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305104,無料連絡バス104
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305105,無料連絡バス105
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305106,無料連絡バス106
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305107,無料連絡バス107
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305108,無料連絡バス108
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305109,無料連絡バス109
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305110,無料連絡バス110
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305111,無料連絡バス111
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305112,無料連絡バス112
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305113,無料連絡バス113
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305114,無料連絡バス114
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305115,無料連絡バス115
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305116,無料連絡バス116
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305117,無料連絡バス117
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305118,無料連絡バス118
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305119,無料連絡バス119
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305120,無料連絡バス120
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305121,無料連絡バス121
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305122,無料連絡バス122
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305123,無料連絡バス123
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305124,無料連絡バス124
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305125,無料連絡バス125
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305126,無料連絡バス126
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305127,無料連絡バス127
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305128,無料連絡バス128
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305129,無料連絡バス129
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305130,無料連絡バス130
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305131,無料連絡バス131
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305132,無料連絡バス132
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305133,無料連絡バス133
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305134,無料連絡バス134
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305135,無料連絡バス135
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305136,無料連絡バス136
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305137,無料連絡バス137
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305138,無料連絡バス138
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305139,無料連絡バス139
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305140,無料連絡バス140
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305141,無料連絡バス141
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305142,無料連絡バス142
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305143,無料連絡バス143
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305144,無料連絡バス144
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305145,無料連絡バス145
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305146,無料連絡バス146
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305147,無料連絡バス147
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305148,無料連絡バス148
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305149,無料連絡バス149
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305150,無料連絡バス150
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305151,無料連絡バス151
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305152,無料連絡バス152
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305153,無料連絡バス153
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305154,無料連絡バス154
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305155,無料連絡バス155
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305156,無料連絡バス156
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305157,無料連絡バス157
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305158,無料連絡バス158
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305159,無料連絡バス159
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305160,無料連絡バス160
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305161,無料連絡バス161
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305162,無料連絡バス162
0,CBUS_202305,HNDFSB_202305,,第2ターミナル行き,CBUS_202305163,無料連絡バス163
